Experiment_Name,Model,Epochs,Batch_Size,LR,Latent_Dim,Notes,FID_mean,FID_std,KID_mean,KID_std,IS_mean,IS_std,LPIPS_mean,LPIPS_std,Total_Time_s,Avg_Epoch_Time_s
VAE_Exp1_Latent256,vae,50,64,0.001,256,Standard VAE Phase 1,321.18,0.00,0.2018,0.0000,1.86,0.00,0.5310,0.0000,185.04,3.70
Diffusion_Exp1_T500,diffusion,50,64,0.0002,128,Diffusion with T=500,133.18,1.19,0.0742,0.0018,3.36,0.04,0.6668,0.0046,644.60,12.89
VAE_Exp2_Latent256,vae,50,64,0.001,256,Standard VAE Phase 1,243.37,1.23,0.2112,0.0013,2.14,0.01,0.5322,0.0081,420.95,8.42
DCGAN_Exp1_Latent100,gan,20,128,0.0002,100,Standard DCGAN Phase 1,238.51,1.44,0.1968,0.0021,2.17,0.02,0.4980,0.0186,155.00,7.75
WGAN_Exp1_Latent100,wgan,100,64,0.0001,100,Standard WGAN-GP Phase 1,203.51,1.79,0.1762,0.0024,2.30,0.04,0.5527,0.0045,862.53,8.63
VAE_Exp3_Latent512,vae,50,64,0.001,512,Standard VAE Phase 1,258.40,1.10,0.2320,0.0006,1.96,0.02,0.5215,0.0010,328.23,6.56
VAE_Exp4_Latent512_Lr5e-4,vae,50,64,0.0005,512,Standard VAE Phase 1,250.38,1.16,0.2249,0.0021,2.02,0.02,0.5291,0.0038,346.13,6.92
VAE_Exp5_Latent256_Lr5e-4,vae,50,64,0.0005,256,Standard VAE Phase 1,249.43,1.29,0.2169,0.0030,2.15,0.04,0.5249,0.0055,326.60,6.53
DCGAN_Exp2_Latent128,gan,50,128,0.0002,128,Standard DCGAN Phase 1,222.93,0.84,0.1996,0.0016,2.36,0.00,0.5549,0.0041,365.00,7.30
DCGAN_Exp3_Latent100_Lr1e-4,gan,50,128,0.0001,100,Standard DCGAN Phase 1,220.95,0.28,0.1940,0.0022,2.36,0.07,0.4932,0.0012,348.38,6.97
DCGAN_Exp4_Latent100_BS64,gan,50,64,0.0002,100,Standard DCGAN Phase 1,171.40,0.50,0.1308,0.0009,2.75,0.06,0.5797,0.0088,439.13,8.78
DCGAN_Exp5_Latent128_Lr1e-4,gan,50,128,0.0001,128,Standard DCGAN Phase 1,245.16,2.21,0.2180,0.0042,2.18,0.03,0.5278,0.0061,375.79,7.52
Diffusion_Exp2_T750,diffusion,50,64,0.0002,128,Diffusion with T=750,185.14,3.22,0.1240,0.0021,3.91,0.05,0.6650,0.0172,625.17,12.50
Diffusion_Exp3_T1000,diffusion,50,64,0.0002,128,Diffusion with T=1000,197.50,4.85,0.1236,0.0053,3.48,0.07,0.6651,0.0218,648.63,12.97
Diffusion_Exp4_T500_TD256,diffusion,50,64,0.0002,256,Diffusion with T=500,152.77,0.99,0.1047,0.0013,2.84,0.04,0.6435,0.0071,650.07,13.00
Diffusion_Exp5_T1000_TD256,diffusion,50,64,0.0002,256,Diffusion with T=1000,255.36,0.95,0.1500,0.0011,3.90,0.06,0.6338,0.0158,621.83,12.44
WGAN_Exp2_Latent128,wgan,100,64,0.0001,128,Standard WGAN-GP Phase 1,184.32,0.86,0.1507,0.0012,2.34,0.05,0.5509,0.0015,643.47,6.43
WGAN_Exp3_Latent256,wgan,100,64,0.0001,256,Standard WGAN-GP Phase 1,201.54,0.50,0.1782,0.0014,2.15,0.02,0.5357,0.0149,664.13,6.64
WGAN_Exp4_Latent100_Lr5e-5,wgan,100,64,5e-05,100,Standard WGAN-GP Phase 1,223.91,0.28,0.2123,0.0005,1.96,0.03,0.5387,0.0060,722.16,7.22
